,new_cases,new_deaths,new_tests,new_vaccinations,reproduction_rate,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_people_vaccinated
485,391279.5714285714,3831.4285714285716,1663742.0,1668616.0,1.12,73.61,128627919.0,29122833.0,0.0,20005673.990162205,376823.2448979592,219024.57307947034,3447.700532356663,14116.605591674082,276.09864024839214,265.89782121887777,154.5503297998415,2.703571297929057,2.4328012461573243,,,,,,,,,292786714.4331427,206.59911643902947,1.1739864216448022,1761557.4285714286,1.243007931572558,0.21569109226848407,4.636260076773305,161607285.05127296,1951632.6881288816,11.403496352744325,9.076373040437009,2.0549947348705007,0.0,1377.1307545890243,1052090.2857142857,0.07423865658094657,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,931244.0
486,391279.5714285714,3831.4285714285716,1541299.0,2180486.0,1.1,73.61,129730641.0,30200597.0,0.0,20396953.561590776,379714.5102040816,222856.00165089892,3538.448979591837,14392.704231922475,276.09864024839214,267.93798502478063,157.25390109777055,2.703571297929057,2.4968360813898567,,,,,,,,,294328013.4331427,207.68670339523706,1.0875869562075802,1735469.857142857,1.2245997561277884,0.22120990512618688,4.520593232159113,163787771.05127296,1952536.545271739,11.557358006569654,9.154184423142318,2.1310450059905173,0.0,1377.7685433885022,1027494.5714285715,0.0725031089658666,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1102722.0
487,391279.5714285714,3831.4285714285716,1923131.0,2672365.0,1.08,73.61,131058890.0,31544713.0,0.0,20788233.133019347,382605.775510204,226687.4302223275,3611.6938775510203,14668.802872170867,276.09864024839214,269.9781488306835,159.95747239569963,2.703571297929057,2.5485198855246565,,,,,,,,,296251144.4331427,209.04372250099036,1.3570191057532899,1757604.2857142857,1.2402184750119205,0.22029812646347574,4.539303243533461,166460136.05127296,2017820.1167003103,11.745928122830398,9.247909669638668,2.2258898757549113,0.0,1423.8345959457024,1035283.1428571428,0.07305269400376031,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1328249.0
488,391279.5714285714,3831.4285714285716,1826490.0,2586397.0,1.06,73.61,132294827.0,32895173.0,0.0,21179512.704447918,385497.0408163265,230518.85879375608,3684.938775510204,14944.901512419257,276.09864024839214,272.01831263658636,162.6610436936287,2.703571297929057,2.6002036896594567,,,,,,,,,298077634.4331427,210.33254880895757,1.2888263079672297,1744230.4285714286,1.2307814789568041,0.22329602086761052,4.478360143250773,169046533.05127296,1997400.402414596,11.928432078310445,9.33512110362353,2.3211823972500976,0.0,1409.4258310619073,988267.8571428572,0.06973515396219604,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1235937.0
489,391279.5714285714,3831.4285714285716,1808344.0,2303857.0,1.03,73.61,133366482.0,34127375.0,0.0,21570792.27587649,388388.30612244894,234350.28736518466,3758.1836734693884,15221.00015266765,276.09864024839214,274.0584764424892,165.36461499155774,2.703571297929057,2.6518874937942574,,,,,,,,,299885978.4331427,211.60857075326317,1.2760219443055763,1724665.4285714286,1.216975826193647,0.2269585081559556,4.406091704272418,171350390.05127296,2089276.1544662698,12.090999161152094,9.410740305319932,2.4081302783953453,0.0,1474.2561264965777,1005358.8571428572,0.07094114635358433,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1071655.0
490,391279.5714285714,3831.4285714285716,1865428.0,969250.9114688374,1.01,73.61,133854676.0,34450192.0,0.0,21962071.84730506,391279.5714285714,238181.71593661324,3831.4285714285716,15497.098792916042,276.09864024839214,276.09864024839214,168.06818628948682,2.703571297929057,2.703571297929057,,,,,,,,,301751406.4331427,212.9248728857789,1.3163021325157507,1733304.5714285714,1.2230718653685524,0.22755640543225342,4.394514837323326,172319640.9627418,2035942.4159241195,12.159392422200458,9.445188743066197,2.430909217358004,0.0,1436.622235626456,1021503.5714285715,0.0720803659773459,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,488194.0
491,341094.71428571426,3988.8571428571427,1474606.0,2794050.0,0.99,77.65463338351252,135192013.0,35906905.0,0.0,22303166.561590772,384110.30612244894,242170.57307947037,3853.918367346939,15737.785487767911,240.6866948518712,271.03979090603195,170.88284392486247,2.8146576353756574,2.719440774707143,,,,,,,,,303226012.4331427,213.9653992542158,1.0405263684369062,1729005.7142857143,1.220038462404448,0.2234526675631011,4.4752206850142375,175113690.9627418,2167860.2730669766,12.356548998243898,9.539555266190767,2.5336992702768737,0.0,1529.7074453874602,1070762.5714285714,0.07555622925084632,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1337337.0
492,341094.71428571426,3988.8571428571427,1850110.0,2763725.0,0.96,78.95595046512486,136557345.0,37305298.0,0.0,22644261.275876485,376941.0408163265,246159.4302223275,3876.408163265306,15978.472182619782,240.6866948518712,265.9809415636719,173.69750156023812,2.8146576353756574,2.7353102514852288,,,,,,,,,305076122.4331427,215.27089254497199,1.305493290756178,1755629.7142857143,1.2388251579917873,0.21619325635305112,4.625491177980895,177877415.9627418,2324304.4159241198,12.551565751031307,9.635897200759779,2.6323740884952715,0.0,1640.0991404099732,1132775.142857143,0.07993202290325285,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1365332.0
493,341094.71428571426,3988.8571428571427,1983804.0,2182934.0,0.94,80.02807031445302,137805245.0,38240332.0,0.0,22985355.990162198,369771.7755102041,250148.28736518463,3898.8979591836733,16219.158877471651,240.6866948518712,260.92209222131174,176.51215919561375,2.8146576353756574,2.7511797282633146,,,,,,,,,307059926.4331427,216.67072434533807,1.3998318003660695,1818844.7142857143,1.2834315643001428,0.204489858748637,4.890218058340095,180060349.9627418,2324654.130209834,12.705600143103322,9.723952780024504,2.6983529013025596,0.0,1640.345909333811,1153514.857142857,0.0813954795545979,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1247900.0
494,341094.71428571426,3988.8571428571427,1864594.0,2316269.0,0.92,80.93884500240586,139087590.0,39274256.0,0.0,23326450.70444791,362602.5102040816,254137.14450804176,3921.387755102041,16459.845572323524,240.6866948518712,255.8632428789516,179.3268168309894,2.8146576353756574,2.7670492050414004,,,,,,,,,308924520.4331427,217.98643798235653,1.315713637018461,1810482.2857142857,1.2775307830523102,0.2015573981342362,4.961365890097495,182376618.9627418,2273783.2730669766,12.869043054015998,9.814438902143445,2.7713096900962957,0.0,1604.449901693716,1146957.142857143,0.08093274750068241,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1282345.0
495,341094.71428571426,3988.8571428571427,1875515.0,1284567.0,0.9,81.7225432824818,139861462.0,39784951.0,0.0,23667545.418733623,355433.24489795923,258126.0016508989,3943.8775510204077,16700.532267175393,240.6866948518712,250.80439353659153,182.14147446636505,2.8146576353756574,2.7829186818194858,,,,,,,,,310800035.4331427,219.30985780561707,1.3234198232605483,1817485.857142857,1.2824727138084986,0.19693487875085797,5.077820680333109,183661185.9627418,2087807.5587812625,12.95968596714153,9.869045639251189,2.807345866114085,0.0,1473.2198411872662,1080947.857142857,0.07627493366109407,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,773872.0
496,341094.71428571426,3988.8571428571427,1693093.0,1898123.0,0.88,81.94,141132112.0,40412424.0,0.0,24008640.133019336,348263.97959183675,262114.85879375602,3966.3673469387754,16941.218962027262,240.6866948518712,245.74554419423137,184.9561321017407,2.8146576353756574,2.7987881585975716,,,,,,,,,312493128.4331427,220.50455517611192,1.1946973704948622,1801021.4285714286,1.2708549175498252,0.19480458678324103,5.133349355437403,185559308.9627418,2029845.5587812625,13.093623237981102,9.958706526976748,2.851622249228097,0.0,1432.3201097557246,1109375.7142857143,0.07828088880811643,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1270650.0
497,341094.71428571426,3988.8571428571427,1751803.0,706470.0,0.86,81.94,141764335.0,40486671.0,0.0,24349734.84730505,341094.71428571426,266103.71593661315,3988.8571428571427,17181.90565687913,240.6866948518712,240.6866948518712,187.77078973711636,2.8146576353756574,2.8146576353756574,,,,,,,,,314244931.4331427,221.74068008934765,1.2361249132357237,1784789.2857142857,1.2594010290812498,0.19265564611408884,5.190608321999603,186265778.9627418,1992305.4285714286,13.143473887138207,10.003318084384778,2.8568613409771704,0.0,1405.830664196784,1129951.2857142857,0.07973276304551175,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,632223.0
498,263722.14285714284,4140.285714285715,1810513.0,1566198.0,0.85,81.94,143090218.0,40726986.0,0.0,24613456.99016219,330041.4897959184,270244.0016508989,4010.4897959183677,17367.995936983472,186.090280104341,232.8872070307955,190.69229992938259,2.921510192266217,2.8299222863600235,,,,,,,,,316055444.4331427,223.01823254532425,1.2775524559765852,1832776.0,1.2932618987297755,0.1804198054785962,5.54262874492808,187831976.9627418,1816898.0,13.253989531126713,10.096876378801202,2.8738186905492538,0.0,1282.0579041183057,1128315.0,0.07961730180149057,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1325883.0
499,271962.51354580926,4140.285714285715,1869223.0,1374398.0,0.84,81.94,144270200.0,40921402.0,0.0,24885419.503707998,320165.46111878904,274384.28736518463,4032.1224489795923,17559.90087062052,191.9049336370487,225.91838400010653,193.61381012164884,2.921510192266217,2.845186937344389,,,,,,,,,317924667.4331427,224.33721254404168,1.3189799987174466,1835506.4285714286,1.295188571295671,0.17486700469632882,5.718631720927476,189206374.9627418,1618422.7142857143,13.35097118993774,10.180139459602508,2.8875372685589746,0.0,1142.007769866334,1101836.4285714286,0.07774889412039009,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1179982.0
500,265492.92401468765,4140.285714285715,2008296.0,1218998.0,0.82,81.94,145333606.0,41076994.0,0.0,25150912.427722685,309365.2053657853,278524.57307947037,4053.7551020408164,17747.240667197162,187.33979657664383,218.29739853221693,196.53532031391507,2.921510192266217,2.8604515883287545,,,,,,,,,319932963.4331427,225.75432663663753,1.417114092595829,1839005.2857142857,1.2976574701856365,0.16918963030127568,5.9105277209915394,190425372.9627418,1480717.5714285714,13.436987357108622,10.255176587035464,2.8985163082969003,0.0,1044.8388771504299,1075480.142857143,0.07588911528728,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1063406.0
501,263722.14285714284,4140.285714285715,2055010.0,1476285.0,0.81,81.94,146624652.0,41262233.0,0.0,25414634.570579827,298311.98087598936,282664.8587937561,4075.387755102041,17933.330947301503,186.090280104341,210.4979107111412,199.4568305061813,2.921510192266217,2.87571623931312,,,,,,,,,321987973.4331427,227.2044035333825,1.450076896744979,1866207.5714285714,1.316852221575139,0.1613894712950394,6.196191064855028,191901657.9627418,1360719.857142857,13.541158469244873,10.34627667789804,2.911587329570575,0.0,960.1648788983925,1076723.142857143,0.07597682510779932,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1291046.0
502,263722.14285714284,4140.285714285715,2061683.0,1276437.6666666667,0.8,81.94,147922134.0,41442557.0,0.0,25678356.71343697,287258.75638619345,286805.14450804185,4097.020408163266,18119.421227405845,186.090280104341,202.69842289006544,202.37834069844752,2.921510192266217,2.8909808902974863,,,,,,,,,324049656.4331427,228.6591890997359,1.4547855663533893,1892803.0,1.3356187563026878,0.15368214608361302,6.506936722863926,193178095.62940845,1359558.5238095238,13.631227752147067,10.43783091228826,2.9243115336537007,0.0,959.3454071507678,1151524.5714285714,0.08125503900529608,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1297482.0
