,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
271,5992532.0,0.0,84559.0,94503.0,0.0,1107.29,4263.42,0.0,60.16,67.24,0.0,0.79,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76717728.0,1097947.0,54.5,0.78,1112755.0,0.79,0.07,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
272,5992532.0,0.0,84559.0,94503.0,0.0,1107.29,4263.32,0.0,60.16,67.23,0.0,0.79,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77850403.0,1132675.0,55.31,0.8,1082918.0,0.77,0.07,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
273,6549373.0,0.0,79548.71,101782.0,0.0,1039.86,4659.38,0.0,56.59,72.41,0.0,0.74,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78992534.0,1142131.0,56.12,0.81,1104957.0,0.78,0.07,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
274,6549373.0,0.0,79548.71,101782.0,0.0,1039.86,4659.27,0.0,56.59,72.41,0.0,0.74,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79982394.0,989860.0,56.82,0.7,1145023.0,0.81,0.07,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
275,6549373.0,0.0,79548.71,101782.0,0.0,1039.86,4659.16,0.0,56.59,72.41,0.0,0.74,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81071797.0,1089403.0,57.6,0.77,1137394.0,0.81,0.07,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
276,6549373.0,0.0,79548.71,101782.0,0.0,1039.86,4659.06,0.0,56.59,72.4,0.0,0.74,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82271654.0,1199857.0,58.45,0.85,1153561.0,0.82,0.06,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
277,6549373.0,0.0,79548.71,101782.0,0.0,1039.86,4658.95,0.0,56.59,72.4,0.0,0.74,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83465975.0,1194321.0,59.3,0.85,1120885.0,0.8,0.07,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
278,6549373.0,0.0,79548.71,101782.0,0.0,1039.86,4658.85,0.0,56.59,72.4,0.0,0.74,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84634680.0,1168705.0,60.13,0.83,1130993.0,0.8,0.06,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
279,6549373.0,0.0,79548.71,101782.0,0.0,1039.86,4658.74,0.0,56.58,72.4,0.0,0.74,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85798698.0,1164018.0,60.96,0.83,1135471.0,0.81,0.06,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
280,7053806.0,0.0,72061.86,108334.0,0.0,936.0,5017.45,0.0,51.26,77.06,0.0,0.67,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86877242.0,1078544.0,61.72,0.77,1126387.0,0.8,0.06,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
